NLR clade,gene_short_na
NLR-Coffea-ND-4,Cc03g13800
NLR-Coffea-ND-5,Cc03g13990
NLR-Coffea-ND-6,Cc03g14710
NLR-Coffea-ND-7,Cc02g36320
NLR-Coffea-ND-8,Cc03g06170
NLR-Coffea-ND-9,Cc00g02990
NLR-Coffea-ND-9,Cc00g09900
NLR-Coffea-ND-9,Cc00g09920
NLR-Coffea-ND-9,Cc00g10780
NLR-Coffea-ND-9,Cc00g19810
NLR-Coffea-ND-9,Cc00g21150
NLR-Coffea-ND-9,Cc00g31030
NLR-Coffea-ND-9,Cc00g31100
NLR-Coffea-ND-9,Cc00g35060
NLR-Coffea-ND-9,Cc04g11620
NLR-Coffea-ND-9,Cc04g11970
NLR-Coffea-ND-9,Cc04g12030
NLR-Coffea-ND-9,Cc04g12050
NLR-Coffea-ND-9,Cc04g12060
NLR-Coffea-ND-9,Cc04g12630
NLR-Coffea-ND-9,Cc04g12650
NLR-Coffea-ND-9,Cc04g13820
NLR-Coffea-ND-9,Cc04g13950
NLR-Coffea-ND-9,Cc04g14020
NLR-Coffea-ND-9,Cc04g14040
NLR-Coffea-ND-9,Cc04g14060
NLR-Coffea-ND-9,Cc04g14250
NLR-Coffea-ND-9,Cc04g14260
NLR-Coffea-ND-9,Cc04g14270
NLR-Coffea-ND-9,Cc06g22540
NLR-Coffea-ND-9,Cc09g09290
NLR-Coffea-ND-9,Cc11g03990
NLR-TNL?-ND-1,Cc00g19290
NLR-TNL?-ND-1,Cc00g26960
NLR-TNL?-ND-1,Cc03g15430
NLR-TNL?-ND-1,Cc03g15450
NLR-TNL?-ND-1,Cc03g15470
NLR-TNL?-ND-1,Cc03g15490
NLR-TNL?-ND-1,Cc05g06530
NLR-TNL?-ND-1,Cc05g06550
NLR-TNL?-ND-1,Cc05g06580
NLR-TNL?-ND-1,Cc05g06600
NLR-TNL?-ND-1,Cc05g06620
NLR-TNL?-ND-1,Cc05g06950
NLR-TNL?-ND-1,Cc05g06960
NLR-TNL?-ND-1,Cc05g07410
NLR-TNL?-ND-1,Cc05g07430
NLR-TNL?-ND-1,Cc05g07910
NLR-TNL?-ND-1,Cc05g08170
NLR-TNL?-ND-1,Cc05g08200
NLR-TNL?-ND-1,Cc07g16920
NLR-TNL?-ND-1,Cc08g05660
NRC-clade,Cc00g07010
NRC-clade,Cc03g14730
NRC-clade,Cc03g14750
NRC-clade,Cc05g05290
NRC-clade,Cc05g06080
NRC-clade,Cc10g10660
NRC-clade,Cc10g11230
NRC-clade,Cc10g11250
NRC-clade,Cc10g11270
NRC-clade,Cc11g03770
NRC-clade,Cc11g06560
NRC-clade,Cc11g07660
NRC-clade,Cc11g07670
NRC-clade,Cc11g10420
NRC-clade,Cc11g10440
NRC-clade,Cc11g10450
NRC-clade,Solyc01g090430
